id,ndex,species,forme,dex1,dex2,type1_id,type2_id,ability1_id,ability2_id,hidden_ability_id,hp,attack,defense,spattack,spdefense,speed,total,weight,height,class,percent_male,percent_female,egg_group1,egg_group2,image_url
180,180,Flaaffy,Flaaffy,"As a result of storing too much electricity, it developed patches where even downy wool won’t grow.",Its fluffy fleece easily stores electricity. Its rubbery hide keeps it from being electrocuted.,4,,9,,57,70,55,55,80,60,45,365,29.3,2.0,Wool Pokémon,0.5,0.5,Monster,Field,180.png
181,181,Ampharos,Ampharos,The tail’s tip shines brightly and can be seen from far away. It acts as a beacon for lost people.,The bright light on its tail can be seen far away. It has been treasured since ancient times as a beacon.,4,,9,,57,90,75,85,115,90,55,510,135.6,4.0,Light Pokémon,0.5,0.5,Monster,Field,181.png
182,182,Bellossom,Bellossom,BELLOSSOM gather at times and appear to dance. They say that the dance is a ritual to summon the sun.,"Plentiful in the tropics. When it dances, its petals rub together and make a pleasant ringing sound.",5,,34,,131,75,80,95,90,100,50,490,12.8,1.0,Flower Pokémon,0.5,0.5,Grass,,182.png
183,183,Marill,Marill,"The tip of its tail, which contains oil that is lighter than water, lets it swim without drowning.","The end of its tail serves as a buoy that keeps it from drowning, even in a vicious current.",3,18,47,37,157,70,20,50,20,50,40,250,18.7,1.0,Aqua Mouse Pokémon,0.5,0.5,Water 1,Fairy,183.png
184,184,Azumarill,Azumarill,"By keeping still and listening intently, it can tell what is in even wild, fast-moving rivers.","When it plays in water, it rolls up its elongated ears to prevent their insides from getting wet.",3,18,47,37,157,100,50,80,60,80,50,420,62.8,2.0,Aqua Rabbit Pokémon,0.5,0.5,Water 1,Fairy,184.png
185,185,Sudowoodo,Sudowoodo,"To avoid attack, it mimics a tree. It will run off if splashed with water, which it hates.","Apparently, the larger the green parts of this Pokémon, the more collectors value it. It’s a particular favorite among elderly people.",13,,5,69,155,70,100,115,30,65,30,410,83.8,3.0,Imitation Pokémon,0.5,0.5,Mineral,,185.png
186,186,Politoed,Politoed,"They gather on moonlit nights to form a large chorus. Their cries sound angry and not at all pleasant, but they are certainly distinctive.","It’s the leader of Poliwag and Poliwhirl. When Politoed roars, they all cower in fear.",3,,11,6,2,90,75,75,90,100,70,500,74.7,3.0,Frog Pokémon,0.5,0.5,Water 1,,186.png
187,187,Hoppip,Hoppip,"To keep from being blown away by the wind, they gather in clusters. They do enjoy gentle breezes, though.","Its body is so light, it must grip the ground firmly with its feet to keep from being blown away.",5,10,34,102,151,35,35,40,35,55,50,250,1.1,1.0,Cottonweed Pokémon,0.5,0.5,Fairy,Grass,187.png
188,188,Skiploom,Skiploom,The bloom on top of its head opens and closes as the temperature fluctuates up and down.,It spreads its petals to absorb sunlight. It also floats in the air to get closer to the sun.,5,10,34,102,151,55,45,50,45,65,80,340,2.2,2.0,Cottonweed Pokémon,0.5,0.5,Fairy,Grass,188.png
189,189,Jumpluff,Jumpluff,"Once it catches the wind, it deftly controls its cotton-puff spores to float, even around the world.",Drifts on seasonal winds and spreads its cotton-like spores all over the world to make more offspring.,5,10,34,102,151,75,55,70,55,95,110,460,6.6,2.0,Cottonweed Pokémon,0.5,0.5,Fairy,Grass,189.png
190,190,Aipom,Aipom,Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air.,"It lives atop tall trees. When leaping from branch to branch, it deftly uses its tail for balance.",1,,50,53,92,55,70,55,40,55,85,360,25.4,2.0,Long Tail Pokémon,0.5,0.5,Field,,190.png
191,191,Sunkern,Sunkern,"It may drop out of the sky suddenly. If attacked by a SPEAROW, it will violently shake its leaves.",It lives by drinking only dewdrops from under the leaves of plants. It is said that it eats nothing else.,5,,34,94,48,30,30,30,30,30,30,180,4.0,1.0,Seed Pokémon,0.5,0.5,Grass,,191.png
192,192,Sunflora,Sunflora,"It converts sunlight into energy. In the darkness after sunset, it closes its petals and becomes still.","In the daytime, it rushes about in a hectic manner, but it comes to a complete stop when the sun sets.",5,,34,94,48,75,75,55,105,85,30,425,18.7,2.0,Sun Pokémon,0.5,0.5,Grass,,192.png
193,193,Yanma,Yanma,"If it flaps its wings really fast, it can generate shock waves that will shatter windows in the area.",Its large eyes can scan 360 degrees. It looks in all directions to seek out insects as its prey.,12,10,3,14,119,65,65,45,75,45,95,390,83.8,3.0,Clear Wing Pokémon,0.5,0.5,Bug,,193.png
194,194,Wooper,Wooper,This POKéMON lives in cold water. It will leave the water to search for food when it gets cold outside.,"When it walks around on the ground, it coats its body with a slimy, poisonous film.",3,9,6,11,109,55,45,45,25,25,15,210,18.7,1.0,Water Fish Pokémon,0.5,0.5,Water 1,Field,194.png
195,195,Quagsire,Quagsire,"This carefree POKéMON has an easy-going nature. While swimming, it always bumps into boat hulls.","Due to its relaxed and carefree attitude, it often bumps its head on boulders and boat hulls as it swims.",3,9,6,11,109,95,85,85,65,65,35,430,165.3,4.0,Water Fish Pokémon,0.5,0.5,Water 1,Field,195.png
196,196,Espeon,Espeon,It can instantaneously sense its opponent’s movements by feeling air currents with its fine fur.,"It unleashes psychic power from the orb on its forehead. When its power is exhausted, the orb grows dull and dark.",11,,28,,156,65,65,60,130,95,110,525,58.4,2.0,Sun Pokémon,0.875,0.125,Field,,196.png
197,197,Umbreon,Umbreon,"When this Pokémon becomes angry, its pores secrete a poisonous sweat, which it sprays at its opponent’s eyes.","With its black fur, it blends into the darkness. It bides its time, and when prey appears, this Pokémon goes for its throat, and then eats it.",16,,28,,39,95,65,110,60,130,65,525,59.5,3.0,Moonlight Pokémon,0.875,0.125,Field,,197.png
198,198,Murkrow,Murkrow,"They awaken at dusk and take wing in the twilight, leading to the expression, “Get home before the Murkrow fly.”","Seen as a symbol of bad luck, it’s generally disliked. Yet it gives presents—objects that sparkle or shine—to Trainers it’s close to.",16,10,15,105,158,60,85,42,85,42,91,405,4.6,1.0,Darkness Pokémon,0.5,0.5,Flying,,198.png
199,199,Slowking,Slowking,"A poisonous bite reacted with its system, blessing it with the enhanced intellect of a genius. It has full control of its psychic powers.","This Pokémon is so famed for its intellect that a proverb still persists in some regions: “When in doubt, ask Slowking.”",3,11,12,20,144,95,75,80,100,110,30,490,175.3,6.0,Royal Pokémon,0.5,0.5,Monster,Water 1,199.png
200,200,Misdreavus,Misdreavus,It will use any means necessary to frighten people and absorb their life energy. It practices constantly to hone its skill in causing fear.,"If you hear a sobbing sound emanating from a vacant room, it’s undoubtedly a bit of mischief from Misdreavus.",14,,26,,,60,60,60,85,85,85,435,2.2,2.0,Screech Pokémon,0.5,0.5,Amorphous,,200.png
201,201,Unown,Unown,Their shapes look like hieroglyphs on ancient tablets. It is said that the two are somehow related.,"Its flat, thin body is always stuck on walls. Its shape appears to have some meaning.",11,,26,,,48,72,48,72,48,48,336,11.0,1.0,Symbol Pokémon,,,Undiscovered,,201.png
202,202,Wobbuffet,Wobbuffet,"It hates light and shock. If attacked, it inflates its body to pump up its counterstrike.","To keep its pitch-black tail hidden, it lives quietly in the darkness. It is never first to attack.",11,,23,,140,190,33,58,33,58,33,405,62.8,4.0,Patient Pokémon,0.5,0.5,Amorphous,,202.png
203,203,Girafarig,Girafarig,"Its tail has a small brain of its own. Beware! If you get close, it may react to your scent and bite.","Its tail, which also contains a small brain, may bite on its own if it notices an alluring smell.",1,11,39,48,157,70,80,65,90,65,85,455,91.5,4.0,Long Neck Pokémon,0.5,0.5,Field,,203.png
204,204,Pineco,Pineco,It likes to make its shell thicker by adding layers of tree bark. The additional weight doesn’t bother it.,It hangs and waits for flying insect prey to come near. It does not move about much on its own.,12,,5,,142,50,65,90,35,35,15,290,15.9,2.0,Bagworm Pokémon,0.5,0.5,Bug,,204.png
205,205,Forretress,Forretress,Its entire body is shielded by a steel-hard shell. What lurks inside the armor is a total mystery.,It remains immovably rooted to its tree. It scatters pieces of its hard shell to drive its enemies away.,12,17,5,,142,75,90,140,60,60,40,465,277.3,3.0,Bagworm Pokémon,0.5,0.5,Bug,,205.png
206,206,Dunsparce,Dunsparce,"When spotted, this POKéMON escapes backward by furiously boring into the ground with its tail.","If spotted, it escapes by burrowing with its tail. It can float just slightly using its wings.",1,,32,50,155,100,70,70,65,65,45,415,30.9,4.0,Land Snake Pokémon,0.5,0.5,Field,,206.png
207,207,Gligar,Gligar,It flies straight at its target’s face then clamps down on the startled victim to inject poison.,"It usually clings to cliffs. When it spots its prey, it spreads its wings and glides down to attack.",9,10,52,8,17,65,75,105,35,65,85,430,142.9,3.0,Fly Scorpion Pokémon,0.5,0.5,Bug,,207.png
208,208,Steelix,Steelix,"Its body has been compressed deep under the ground. As a result, it is even harder than a diamond.","It is said that if an ONIX lives for over 100 years, its composition changes to become diamond-like.",17,9,69,5,125,75,85,200,55,65,30,510,881.8,30.0,Iron Snake Pokémon,0.5,0.5,Mineral,,208.png
209,209,Snubbull,Snubbull,"Despite its intimidating face, it’s quite cowardly. Its desperate attempts to appear threatening make it popular with people.",Its growls make its opponents uneasy. This laid-back Pokémon tends to sleep half the day.,18,,22,50,155,60,80,50,40,40,30,300,17.2,2.0,Fairy Pokémon,0.5,0.5,Field,Fairy,209.png
210,210,Granbull,Granbull,"Its well-developed lower jaw and heavy fangs are its weapons. As long as it’s not provoked, it rarely bites.","More timid than Snubbull, this Pokémon is doted on by young people amused at the contrast between its looks and its attitude.",18,,22,95,155,90,120,75,60,60,45,450,107.4,4.0,Fairy Pokémon,0.5,0.5,Field,Fairy,210.png
211,211,Qwilfish,Qwilfish,"To fire its poison spikes, it must inflate its body by drinking over 2.6 gallons of water all at once.",The small spikes covering its body developed from scales. They inject a toxin that causes fainting.,3,8,38,33,22,65,95,85,55,55,85,440,8.6,1.0,Balloon Pokémon,0.5,0.5,Water 2,,211.png
212,212,Scizor,Scizor,"It uses its wings to adjust its body temperature. Otherwise, its metal body would become too hot and melt in the heat of battle.","Once it has identified an enemy, this Pokémon smashes it mercilessly with pincers hard as steel.",12,17,68,101,135,70,130,100,55,80,65,500,260.1,5.0,Pincer Pokémon,0.5,0.5,Bug,,212.png
213,213,Shuckle,Shuckle,The BERRIES it stores in its vase-like shell decompose and become a gooey liquid.,"It stores BERRIES inside its shell. To avoid attacks, it hides beneath rocks and remains completely still.",12,13,5,82,126,20,10,230,10,230,5,505,45.2,2.0,Mold Pokémon,0.5,0.5,Bug,,213.png
214,214,Heracross,Heracross,This powerful POKéMON thrusts its prized horn under its enemies’ bellies then lifts and throws them.,"Usually docile, but if disturbed while sipping honey, it chases off the intruder with its horn.",12,7,68,62,153,80,125,75,40,95,85,500,119.0,4.0,Single Horn Pokémon,0.5,0.5,Bug,,214.png
215,215,Sneasel,Sneasel,"It has a cunning yet savage disposition. It waits for parents to leave their nests, and then it sneaks in to steal their eggs.",It uses its claws to poke holes in eggs so it can slurp out the insides. Breeders consider it a scourge and will drive it away or eradicate it.,16,6,39,51,124,55,95,55,35,75,115,430,61.7,2.0,Sharp Claw Pokémon,0.5,0.5,Field,,215.png
216,216,Teddiursa,Teddiursa,"If it finds honey, its crescent mark glows. It always licks its paws because they are soaked with honey.","Before food becomes scarce in wintertime, its habit is to hoard food in many hidden locations.",1,,53,95,118,60,80,50,50,50,40,330,19.4,2.0,Little Bear Pokémon,0.5,0.5,Field,,216.png
217,217,Ursaring,Ursaring,"Although it is a good climber, it prefers to snap trees with its forelegs and eat fallen BERRIES.","With its ability to distinguish any aroma, it unfailingly finds all food buried deep underground.",1,,62,95,127,90,130,75,75,75,55,500,277.3,5.0,Hibernator Pokémon,0.5,0.5,Field,,217.png
218,218,Slugma,Slugma,"It never sleeps. It has to keep moving because if it stopped, its magma body would cool and harden.","A common sight in volcanic areas, it slowly slithers around in a constant search for warm places.",2,,40,49,133,40,40,40,70,40,20,250,77.2,2.0,Lava Pokémon,0.5,0.5,Amorphous,,218.png
219,219,Magcargo,Magcargo,The shell on its back is just skin that has cooled and hardened. It breaks easily with a slight touch.,Its brittle shell occasionally spouts intense flames that circulate throughout its body.,2,13,40,49,133,60,50,120,90,80,30,430,121.3,2.0,Lava Pokémon,0.5,0.5,Amorphous,,219.png
220,220,Swinub,Swinub,It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.,"If it smells something enticing, it dashes headlong off to find the source of the aroma.",6,9,12,81,47,50,50,40,30,30,50,250,14.3,1.0,Pig Pokémon,0.5,0.5,Field,,220.png
221,221,Piloswine,Piloswine,"Because the long hair all over its body obscures its sight, it just keeps charging repeatedly.","If it charges at an enemy, the hairs on its back stand up straight. It is very sensitive to sound.",6,9,12,81,47,100,100,80,60,60,50,450,123.0,3.0,Swine Pokémon,0.5,0.5,Field,,221.png
222,222,Corsola,Corsola,"Coral branches grow from its head. They break off quite easily, but they grow back in about three days.","Pursued by Mareanie for the branches on its head, this Pokémon will sometimes snap its own branches off as a diversion while it escapes.",3,13,55,30,144,65,55,95,65,95,35,410,11.0,2.0,Coral Pokémon,0.5,0.5,Water 1,Water 3,222.png
223,223,Remoraid,Remoraid,It has superb accuracy. The water it shoots out can strike even moving prey from more than 300 feet.,"Using its dorsal fin as a suction pad, it clings to a MANTINE’s underside to scavenge for leftovers.",3,,55,97,141,35,65,35,65,35,65,300,26.5,2.0,Jet Pokémon,0.5,0.5,Water 1,Water 2,223.png
224,224,Octillery,Octillery,It traps enemies with its suction-cupped tentacles then smashes them with its rock-hard head.,"It instinctively sneaks into rocky holes. If it gets sleepy, it steals the nest of a fellow OCTILLERY.",3,,21,97,141,75,105,75,105,75,45,480,62.8,2.0,Jet Pokémon,0.5,0.5,Water 1,Water 2,224.png
225,225,Delibird,Delibird,"Although it naturally prefers colder locales, Delibird in Alola seem able to withstand the heat to a certain extent.","It has a generous habit of sharing its food with people and Pokémon, so it’s always scrounging around for more food.",6,10,72,55,15,45,55,45,65,45,75,330,35.3,2.0,Delivery Pokémon,0.5,0.5,Water 1,Field,225.png
226,226,Mantine,Mantine,"As it majestically swims, it doesn’t care if REMORAID attach to it for scavenging its leftovers.","Swimming freely in open seas, it may fly out of the water and over the waves if it builds up enough speed.",3,10,33,11,41,85,40,70,80,140,70,485,485.0,6.0,Kite Pokémon,0.5,0.5,Water 1,,226.png
227,227,Skarmory,Skarmory,"Its feathers, which fall off as it grows, are thin and sharp. In times long past, warriors used them as swords.","Its metal body is sturdy, but it does rust rather easily. So on rainy days, this Pokémon prefers to stay put in its nest.",17,10,51,5,133,65,80,140,40,70,70,465,111.3,5.0,Armor Bird Pokémon,0.5,0.5,Flying,,227.png
228,228,Houndour,Houndour,It uses different kinds of cries for communicating with others of its kind and for pursuing its prey.,"To corner prey, they check each other’s location using barks that only they can understand.",16,2,48,18,127,45,60,30,80,50,65,330,23.8,2.0,Dark Pokémon,0.5,0.5,Field,,228.png
229,229,Houndoom,Houndoom,"If you are burned by the flames it shoots from its mouth, the pain will never go away.","Upon hearing its eerie howls, other POKéMON get the shivers and head straight back to their nests.",16,2,48,18,127,75,90,50,110,80,95,500,77.2,4.0,Dark Pokémon,0.5,0.5,Field,,229.png
230,230,Kingdra,Kingdra,It is said that it usually hides in underwater caves. It can create whirlpools by yawning.,It sleeps deep on the ocean floor to build its energy. It is said to cause tornadoes as it wakes.,3,15,33,97,6,75,95,95,95,95,85,540,335.1,5.0,Dragon Pokémon,0.5,0.5,Water 1,Dragon,230.png
231,231,Phanpy,Phanpy,"It swings its long snout around playfully, but because it is so strong, that can be dangerous.","As a sign of affection, it bumps with its snout. However, it is so strong, it may send you flying.",9,,53,,8,90,60,60,40,40,40,330,73.9,1.0,Long Nose Pokémon,0.5,0.5,Field,,231.png
232,232,Donphan,Donphan,"It has sharp, hard tusks and a rugged hide. Its TACKLE is strong enough to knock down a house.","The longer and bigger its tusks, the higher its rank in its herd. The tusks take long to grow.",9,,5,,8,90,120,120,60,60,50,500,264.6,3.0,Armor Pokémon,0.5,0.5,Field,,232.png
233,233,Porygon2,Porygon2,"For the purposes of planetary development, Porygon was updated with the most cutting-edge technology available.",Porygon was updated to a new version in readiness for planetary development. But that dream remains unrealized as yet.,1,,36,88,148,85,80,90,105,95,60,515,71.6,2.0,Virtual Pokémon,,,Mineral,,233.png
234,234,Stantler,Stantler,The curved antlers subtly change the flow of air to create a strange space where reality is distorted.,Those who stare at its antlers will gradually lose control of their senses and be unable to stand.,1,,22,119,157,73,95,62,85,65,85,465,157.0,4.0,Big Horn Pokémon,0.5,0.5,Field,,234.png
235,235,Smeargle,Smeargle,The unique creations produced by each Smeargle are painted using the fluid that oozes from its tail. This is how it marks its territory.,"It draws symbols all over the place to mark its territory. In towns with many Smeargle, the walls are covered in graffiti.",1,,20,101,141,55,20,35,20,45,75,250,127.9,3.0,Painter Pokémon,0.5,0.5,Field,,235.png
236,236,Tyrogue,Tyrogue,"It is always bursting with energy. To make itself stronger, it keeps on fighting even if it loses.","Even though it is small, it can’t be ignored because it will slug any handy target without warning.",7,,62,80,72,35,35,35,35,35,35,210,46.3,2.0,Scuffle Pokémon,1.0,0.0,Undiscovered,,236.png
237,237,Hitmontop,Hitmontop,"If you become enchanted by its smooth, elegant, dance-like kicks, you may get drilled hard.","It launches kicks while spinning. If it spins at high speed, it may bore its way into the ground.",7,,22,101,80,50,95,95,35,110,70,455,105.8,4.0,Handstand Pokémon,1.0,0.0,Human-Like,,237.png
238,238,Smoochum,Smoochum,Its lips are the most sensitive parts on its body. It always uses its lips first to examine things.,It always rocks its head slowly backwards and forwards as if it is trying to kiss someone.,6,11,12,108,93,45,30,15,85,65,65,305,13.2,1.0,Kiss Pokémon,0.0,1.0,Undiscovered,,238.png
239,239,Elekid,Elekid,"When it’s in a house, electrical outlets serve as its baby bottles. It sucks down electricity.",This Pokémon is constantly fighting with Togedemaru that try to steal its electricity. It’s a pretty even match.,4,,9,,72,45,63,37,65,55,95,360,51.8,2.0,Electric Pokémon,0.75,0.25,Undiscovered,,239.png
240,240,Magby,Magby,"Many of these Pokémon can be seen in areas with volcanic activity. Feeding can get them so excited, they exhale flames of 1,100 degrees F.",A famous potter lives with a Magby. Apparently its soft flames produce fine works.,2,,49,,72,45,75,37,70,55,83,365,47.2,2.0,Live Coal Pokémon,0.75,0.25,Undiscovered,,240.png
241,241,Miltank,Miltank,"Its milk is high in calories and packed with nutrients. Therefore, if you drink too much of it, you may wind up with a body like Miltank’s.","Most people raise it for its milk, but it’s quite tough and strong, so it’s also well suited for battle.",1,,47,113,157,95,80,105,40,70,100,490,166.4,3.0,Milk Cow Pokémon,0.0,1.0,Field,,241.png
242,242,Blissey,Blissey,"Even the most ferocious Pokémon become calm when they eat Blissey’s egg, which is said to be filled with happiness.","Its fluffy fur coat acts as a sensor, enabling it to read the feelings of people and Pokémon.",1,,30,32,131,255,10,10,75,135,55,540,103.2,4.0,Happiness Pokémon,0.0,1.0,Fairy,,242.png
243,243,Raikou,Raikou,The rain clouds it carries let it fire thunderbolts at will. They say that it descended with lightning.,A POKéMON that races across the land while barking a cry that sounds like crashing thunder.,4,,46,,39,90,85,75,115,100,115,580,392.4,6.0,Thunder Pokémon,,,Undiscovered,,243.png
244,244,Entei,Entei,"Volcanoes erupt when it barks. Unable to restrain its extreme power, it races headlong around the land.",A POKéMON that races across the land. It is said that one is born every time a new volcano appears.,2,,46,,39,115,115,85,90,75,100,580,436.5,6.0,Volcano Pokémon,,,Undiscovered,,244.png
245,245,Suicune,Suicune,"Said to be the reincarnation of north winds, it can instantly purify filthy, murky water.",This POKéMON races across the land. It is said that north winds will somehow blow whenever it appears.,3,,46,,39,100,75,115,90,115,85,580,412.3,6.0,Aurora Pokémon,,,Undiscovered,,245.png
246,246,Larvitar,Larvitar,"It feeds on soil. After it has eaten a large mountain, it will fall asleep so it can grow.",It is born deep underground. It can’t emerge until it has entirely consumed the soil around it.,13,9,62,,8,50,64,50,45,50,41,300,158.7,2.0,Rock Skin Pokémon,0.5,0.5,Monster,,246.png
247,247,Pupitar,Pupitar,"Its shell is as hard as sheet rock, and it is also very strong. Its THRASHING can topple a mountain.","Even sealed in its shell, it can move freely. Hard and fast, it has outstanding destructive power.",13,9,61,,,70,84,70,65,70,51,410,335.1,3.0,Hard Shell Pokémon,0.5,0.5,Monster,,247.png
248,248,Tyranitar,Tyranitar,"Its body can’t be harmed by any sort of attack, so it is very eager to make challenges against enemies.","Extremely strong, it can change the landscape. It has an insolent nature that makes it not care about others.",13,16,45,,127,100,134,110,95,100,61,600,445.3,6.0,Armor Pokémon,0.5,0.5,Monster,,248.png
249,249,Lugia,Lugia,It is said that it quietly spends its time deep at the bottom of the sea because its powers are too strong.,It is said to be the guardian of the seas. It is rumored to have been seen on the night of a storm.,11,10,46,,136,106,90,130,90,154,110,680,476.2,17.0,Diving Pokémon,,,Undiscovered,,249.png
250,250,Ho-Oh,Ho-Oh,Legends claim this POKéMON flies the world’s skies continuously on its magnificent seven-colored wings.,A legend says that its body glows in seven colors. A rainbow is said to form behind it when it flies.,2,10,46,,144,106,130,90,110,154,90,680,438.7,12.0,Rainbow Pokémon,,,Undiscovered,,250.png
251,251,Celebi,Celebi,This POKéMON wanders across time. Grass and trees flourish in the forests in which it has appeared.,"When CELEBI disappears deep in a forest, it is said to leave behind an egg it brought from the future.",11,5,30,,,100,100,100,100,100,100,600,11.0,2.0,Time Travel Pokémon,,,Undiscovered,,251.png
252,252,Treecko,Treecko,TREECKO has small hooks on the bottom of its feet that enable it to scale vertical walls. This POKéMON attacks by slamming foes with its thick tail.,"TREECKO is cool, calm, and collected - it never panics under any situation. If a bigger foe were to glare at this POKéMON, it would glare right back without conceding an inch of ground.",5,,65,,84,40,45,35,65,55,70,310,11.0,1.0,Wood Gecko Pokémon,0.875,0.125,Monster,Dragon,252.png
253,253,Grovyle,Grovyle,The leaves growing out of GROVYLE’s body are convenient for camouflaging it from enemies in the forest. This POKéMON is a master at climbing trees in jungles.,"This POKéMON adeptly flies from branch to branch in trees. In a forest, no POKéMON can ever hope to catch a fleeing GROVYLE however fast they may be.",5,,65,,84,50,65,45,85,65,95,405,47.6,2.0,Wood Gecko Pokémon,0.875,0.125,Monster,Dragon,253.png
254,254,Sceptile,Sceptile,The leaves growing on SCEPTILE’s body are very sharp edged. This POKéMON is very agile - it leaps all over the branches of trees and jumps on its foe from above or behind.,SCEPTILE has seeds growing on its back. They are said to be bursting with nutrients that revitalize trees. This POKéMON raises the trees in a forest with loving care.,5,,65,,84,70,85,65,105,85,120,530,115.1,5.0,Forest Pokémon,0.875,0.125,Monster,Dragon,254.png
255,255,Torchic,Torchic,"TORCHIC sticks with its TRAINER, following behind with unsteady steps. This POKéMON breathes fire of over 1,800 degrees F, including fireballs that leave the foe scorched black.",TORCHIC has a place inside its body where it keeps its flame. Give it a hug - it will be glowing with warmth. This POKéMON is covered all over by a fluffy coat of down.,2,,66,,3,45,60,40,70,50,45,310,5.5,1.0,Chick Pokémon,0.875,0.125,Field,,255.png
256,256,Combusken,Combusken,"COMBUSKEN toughens up its legs and thighs by running through fields and mountains. This POKéMON’s legs possess both speed and power, enabling it to dole out ten kicks in one second.",COMBUSKEN battles with the intensely hot flames it spews from its beak and with outstandingly destructive kicks. This POKéMON’s cry is very loud and distracting.,2,7,66,,3,60,85,60,85,60,55,405,43.0,2.0,Young Fowl Pokémon,0.875,0.125,Field,,256.png
257,257,Blaziken,Blaziken,"In battle, BLAZIKEN blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this POKéMON’s wrists burn.",BLAZIKEN has incredibly strong legs - it can easily clear a 30-story building in one leap. This POKéMON’s blazing punches leave its foes scorched and blackened.,2,7,66,,3,80,120,70,110,70,80,530,114.6,6.0,Blaze Pokémon,0.875,0.125,Field,,257.png
258,258,Mudkip,Mudkip,"The fin on MUDKIP’s head acts as highly sensitive radar. Using this fin to sense movements of water and air, this POKéMON can determine what is taking place around it without using its eyes.","In water, MUDKIP breathes using the gills on its cheeks. If it is faced with a tight situation in battle, this POKéMON will unleash its amazing power - it can crush rocks bigger than itself.",3,,67,,6,50,70,50,50,50,40,310,16.8,1.0,Mud Fish Pokémon,0.875,0.125,Monster,Water 1,258.png
259,259,Marshtomp,Marshtomp,"The surface of MARSHTOMP’s body is enveloped by a thin, sticky film that enables it to live on land. This POKéMON plays in mud on beaches when the ocean tide is low.","MARSHTOMP is much faster at traveling through mud than it is at swimming. This POKéMON’s hindquarters exhibit obvious development, giving it the ability to walk on just its hind legs.",3,9,67,,6,70,85,70,60,70,50,405,61.7,2.0,Mud Fish Pokémon,0.875,0.125,Monster,Water 1,259.png
260,260,Swampert,Swampert,SWAMPERT is very strong. It has enough power to easily drag a boulder weighing more than a ton. This POKéMON also has powerful vision that lets it see even in murky water.,"SWAMPERT predicts storms by sensing subtle differences in the sounds of waves and tidal winds with its fins. If a storm is approaching, it piles up boulders to protect itself.",3,9,67,,6,100,110,90,85,90,60,535,180.6,4.0,Mud Fish Pokémon,0.875,0.125,Monster,Water 1,260.png
261,261,Poochyena,Poochyena,"At first sight, POOCHYENA takes a bite at anything that moves. This POKéMON chases after prey until the victim becomes exhausted. However, it may turn tail if the prey strikes back.",POOCHYENA is an omnivore - it will eat anything. A distinguishing feature is how large its fangs are compared to its body. This POKéMON tries to intimidate its foes by making the hair on its tail bristle out.,16,,50,95,155,35,55,35,30,30,35,220,30.0,1.0,Bite Pokémon,0.5,0.5,Field,,261.png
262,262,Mightyena,Mightyena,MIGHTYENA gives obvious signals when it is preparing to attack. It starts to growl deeply and then flattens its body. This POKéMON will bite savagely with its sharply pointed fangs.,MIGHTYENA travel and act as a pack in the wild. The memory of its life in the wild compels the POKéMON to obey only those TRAINERS that it recognizes to possess superior skill.,16,,22,95,153,70,90,70,60,60,70,420,81.6,3.0,Bite Pokémon,0.5,0.5,Field,,262.png
263,263,Zigzagoon,Zigzagoon,ZIGZAGOON restlessly wanders everywhere at all times. This POKéMON does so because it is very curious. It becomes interested in anything that it happens to see.,The hair on ZIGZAGOON’s back is  bristly. It rubs the hard back hair against trees to leave its territorial markings. This POKéMON may play dead to fool foes in battle.,1,,53,82,95,38,30,41,30,41,60,240,38.6,1.0,Tiny Raccoon Pokémon,0.5,0.5,Field,,263.png
264,264,Linoone,Linoone,"LINOONE always runs full speed and only in straight lines. If facing an obstacle, it makes a right-angle turn to evade it. This POKéMON is very challenged by gently curving roads.","When hunting, LINOONE will make a beeline straight for the prey at a full run. While this POKéMON is capable of topping 60 mph, it has to come to a screeching halt before it can turn.",1,,53,82,95,78,70,61,50,61,100,420,71.6,1.0,Rushing Pokémon,0.5,0.5,Field,,264.png
265,265,Wurmple,Wurmple,"Using the spikes on its rear end,   WURMPLE peels the bark off trees and feeds on the sap that oozes out. This POKéMON’s feet are tipped with suction pads that allow it to cling to glass without slipping.",WURMPLE is targeted by SWELLOW as prey. This POKéMON will try to resist by pointing the spikes on its rear at the attacking predator. It will weaken the foe by leaking poison from the spikes.,12,,19,,50,45,45,35,20,30,20,195,7.9,1.0,Worm Pokémon,0.5,0.5,Bug,,265.png
266,266,Silcoon,Silcoon,"SILCOON tethers itself to a tree branch using silk to keep from falling. There,  this POKéMON hangs quietly while it awaits evolution. It peers out of the silk cocoon through a small hole.","SILCOON was thought to endure hunger and not consume anything before its evolution. However, it is now thought that this POKéMON slakes its thirst by drinking rainwater that collects on its silk.",12,,61,,,50,35,55,25,25,15,205,22.0,2.0,Cocoon Pokémon,0.5,0.5,Bug,,266.png
267,267,Beautifly,Beautifly,"BEAUTIFLY’s favorite food is the sweet pollen of flowers. If you want to see this POKéMON, just leave a potted flower by an open window. BEAUTIFLY is sure to come looking for pollen.","BEAUTIFLY has a long mouth like a coiled needle, which is very convenient for collecting pollen from flowers. This POKéMON rides the spring winds as it flits around gathering pollen.",12,10,68,,79,60,70,50,100,50,65,395,62.6,3.0,Butterfly Pokémon,0.5,0.5,Bug,,267.png
